category,product_name,product_code,brand,capacity,price_baht,stock,description
แก้วกาแฟ,V Project Flat Table Mug,LHC4320,LocknLock,730ml,835,10,แก้วเก็บอุณหภูมิทรงมัค
แก้วกาแฟ,Metro Mug 600ml,LHC4282,LocknLock,600ml,770,12,แก้วมัคพกพา
แก้วกาแฟ,Metro Mug 475ml,LHC4219,LocknLock,475ml,695,10,แก้วมัคขนาดกะทัดรัด
แก้วกาแฟ,Metro Tea Mug,LHC4305,LocknLock,400ml,995,8,แก้วชาพร้อมฝา
แก้วกาแฟ,Table Mug,LHC4247,LocknLock,473ml,690,10,แก้วมัคสำหรับโต๊ะทำงาน
แก้วกาแฟ,Metro Cafe Top Handle,LHC4328,LocknLock,710ml,1090,8,แก้วพร้อมหลอดและหูหิ้ว
แก้วกาแฟ,Daily Handle Tumbler,LHC4330,LocknLock,600ml,890,10,แก้วหูหิ้วสีพาสเทล
แก้วกาแฟ,Double Wall Cold Cup,HAP509,LocknLock,720ml,250,15,แก้วพลาสติกผนังสองชั้น
แก้วกาแฟ,Double Wall Cold Cup,HAP507,LocknLock,500ml,235,15,แก้วน้ำเย็นผนังสองชั้น
แก้วกาแฟ,Bucket Cold Cup,HAP520,LocknLock,580ml,355,12,แก้วน้ำทรงบักเก็ต
แก้วเก็บความเย็น,Energetic One Touch Tumbler,LHC3249,LocknLock,550ml,750,10,ฝาเปิดกดครั้งเดียว
แก้วเก็บความเย็น,Metro Drive Tumbler,LHC4277S,LocknLock,650ml,795,8,แก้วพกพาในรถ
แก้วเก็บความเย็น,Metro Two Way Tumbler,LHC4274,LocknLock,475ml,835,10,ฝาดื่มได้สองรูปแบบ
แก้วเก็บความเย็น,The First One Touch Tumbler,LHC3292,LocknLock,480ml,750,9,แก้วฝาเปิดง่าย
แก้วเก็บความเย็น,Lip Tumbler,LHC4164,LocknLock,450ml,585,10,แก้วสเตนเลสเก็บร้อนเย็น
ขวดน้ำ,Easy Grip Water Bottle,HAP814,LocknLock,1.5L,123,20,ขวดน้ำจับถนัดมือ
ขวดน้ำ,ECO Life Water Bottle,HLC644,LocknLock,550ml,189,18,ขวดน้ำพร้อมสายหิ้ว
ขวดน้ำ,Easy Open Water Bottle,HAP813N,LocknLock,1.2L,105,20,ขวดน้ำปากกว้าง
ขวดน้ำ,Chess Water Bottle,HAP816,LocknLock,500ml,69,25,ขวดน้ำพลาสติกน้ำหนักเบา
ขวดน้ำ,Helper Bottle,ABF610,LocknLock,1L,303,15,ขวดน้ำบอกปริมาณดื่ม
แก้วเดินทาง,Wanna Be Tumbler Carry,LHC4246,LocknLock,450ml,695,10,แก้วเดินทางพร้อมสายถือ
แก้วเดินทาง,Clip Tumbler,LHC4151,LocknLock,540ml,729,10,แก้วพร้อมคลิปพกพา
แก้วเดินทาง,Riga Tumbler Thailand Edition,LHC4160TH,LocknLock,897ml,1090,8,แก้วเก็บอุณหภูมิขนาดใหญ่
แก้วเดินทาง,Daily Essential Tumbler,LHC4325,LocknLock,870ml,990,8,แก้วพร้อมหลอดและแปรง
แก้วเดินทาง,Jumbo Tumbler,LHC4300,LocknLock,900ml,1075,8,แก้วจุเยอะสำหรับเดินทาง
สายออกกำลังกาย,Shake It Bottle Pro Stainless,LHC4276,LocknLock,650ml,780,12,กระบอกน้ำสเตนเลสสำหรับออกกำลังกาย
สายออกกำลังกาย,Sport Water Bottle,HPL931NBK-PR,LocknLock,470ml,90,20,ขวดน้ำกีฬา
สายออกกำลังกาย,Protein Shaker Pro,CC-FIT-600,ChillCup,600ml,299,15,แก้วเชคโปรตีนพร้อมตะแกรง
สายออกกำลังกาย,Hydration Bottle,CC-FIT-1000,ChillCup,1L,349,15,ขวดน้ำพร้อมสเกลเวลา
สายออกกำลังกาย,Active Flip Bottle,CC-FIT-750,ChillCup,750ml,279,18,ขวดน้ำฝาเปิดดื่มเร็ว
อุปกรณ์เสริม,Stainless Steel Straw Set,CC-ACC-STR,ChillCup,3ชิ้น,149,30,ชุดหลอดสเตนเลส
อุปกรณ์เสริม,Straw Cleaning Brush,CC-ACC-BRUSH,ChillCup,20cm,49,40,แปรงล้างหลอด
อุปกรณ์เสริม,Tumbler Replacement Lid,CC-ACC-LID,ChillCup,500ml,129,20,ฝาแก้วสำรอง
อุปกรณ์เสริม,Silicone Tumbler Boot,CC-ACC-BOOT,ChillCup,ฐานแก้ว,99,25,ซิลิโคนกันลื่นและกันกระแทก
อุปกรณ์เสริม,Carry Strap for Tumbler,CC-ACC-STRAP,ChillCup,ปรับได้,119,20,สายคล้องแก้วพกพา
